Rank,School_x,Conference_x,Coach,TotalPay,index,Yrs,G,W,L,T,Pct,Last School,Stadium,Capacity,City,State_x,HomeTeams,Year,School_y,Conference_y,Sport,State_y,GSR,FGR,SchoolG
26,Arizona,Pac-12,Kevin Sumlin,2000000,1892,12,153,95,58,0,0.621,Arizona,State Farm Stadium,63400,Glendale,Arizona,"Arizona Cardinals, the Fiesta Bowl game, hosted the BCS National Championship game every fourth year, and will host a College Football semifinal game once every three years",1998,University of Arizona,Pac-12 Conference,Football,AZ,44,41,Arizona
27,Cincinnati,AAC,Luke Fickell,2000000,654,4,52,32,20,0,0.615,Cincinnati,Paul Brown Stadium,65535,Cincinnati,Ohio,"Cincinnati Bengals, occasionally hosts Cincinnati Bearcats games",1998,University of Cincinnati,Conference USA,Football,OH,68,67,Cincinnati
28,Arkansas State,Sun Belt,Blake Anderson,825000,32,6,77,47,30,0,0.61,Arkansas State,Centennial Bank Stadium,30964,Jonesboro,Arkansas,Arkansas State Red Wolves,1998,Arkansas State University,Sun Belt Conference,Football,AR,58,45,Arkansas State
29,Iowa,Big Ten,Kirk Ferentz,4700000,646,21,266,162,104,0,0.609,Iowa,Kinnick Stadium,70585,Iowa City,Iowa,Iowa Hawkeyes,1998,University of Iowa,Big Ten Conference,Football,IA,58,53,Iowa
30,Washington State,Pac-12,Mike Leach,3500000,1140,18,229,139,90,0,0.607,Washington State,Martin Stadium,35117,Pullman,Washington,Washington State Cougars,1998,Washington State University,Pac-12 Conference,Football,WA,56,62,Washington State
31,Marshall,C-USA,Doc Holliday,762570,914,10,129,78,51,0,0.605,Marshall,Joan C. Edwards Stadium,38227,Huntington,West Virginia,Marshall Thundering Herd,1998,Marshall University,Mid-American Conference,Football,WV,79,65,Marshall
32,Iowa State,Big 12,Matt Campbell,3500000,271,9,101,61,40,0,0.604,Iowa State,Jack Trice Stadium,61500,Ames,Iowa,Iowa State Cyclones,1998,Iowa State University,Big 12 Conference,Football,IA,51,54,Iowa State
33,Purdue,Big Ten,Jeff Brohm,3800000,207,6,78,47,31,0,0.603,Purdue,Ross–Ade Stadium,57236,West Lafayette,Indiana,Purdue Boilermakers,1998,Purdue University,Big Ten Conference,Football,IN,70,62,Purdue
34,Minnesota,Big Ten,P.J. Fleck,3550000,668,7,90,53,37,0,0.589,Minnesota,U.S. Bank Stadium,66655,Minneapolis,Minnesota,Minnesota Vikings,1998,"University of Minnesota, Twin Cities",Big Ten Conference,Football,MN,41,38,Minnesota
35,Air Force,Mt. West,Troy Calhoun,885000,258,13,167,98,69,0,0.587,Air Force,Falcon Stadium,52480,Colorado Springs,Colorado,Air Force Falcons,1998,U.S. Air Force Academy,Mountain West Conference,Football,CO,91,,Air Force
36,South Florida,AAC,Charlie Strong,1000000,1882,11,127,74,53,0,0.583,South Florida,Raymond James Stadium,65647,Tampa,Florida,"Tampa Bay Buccaneers, South Florida Bulls, and the Outback Bowl game",1998,University of South Florida,Conference USA,Football,FL,57,50,South Florida
37,Houston,AAC,Major Applewhite,1750000,45,3,26,15,11,0,0.577,Houston,TDECU Stadium,40000,Houston,Texas,Houston Cougars,1998,University of Houston,Conference USA,Football,TX,45,42,Houston
38,San Diego State,Mt. West,Rocky Long,873576,1183,20,253,146,107,0,0.577,San Diego State,SDCCU Stadium,70561,San Diego,California,"San Diego State Aztecs, the Holiday Bowl game, and the Poinsettia Bowl game",1998,San Diego State University,Mountain West Conference,Football,CA,74,69,San Diego State
39,West Virginia,Big 12,Dana Holgorsen,3617500,909,9,114,65,49,0,0.57,Houston,Mountaineer Field at Milan Puskar Stadium,60540,Morgantown,West Virginia,West Virginia Mountaineers,1998,West Virginia University,American Athletic Conference,Football,WV,64,52,West Virginia
40,Louisiana Tech,C-USA,Skip Holtz,700000,929,15,194,110,84,0,0.567,Louisiana Tech,Joe Aillet Stadium,28562,Ruston,Louisiana,Louisiana Tech Bulldogs,1998,Louisiana Tech University,Western Athletic Conference,Football,LA,63,66,Louisiana Tech
41,Nebraska,Big Ten,Scott Frost,5000000,696,4,50,28,22,0,0.56,Nebraska,Memorial Stadium,91585,Lincoln,Nebraska,Nebraska Cornhuskers,1998,"University of Nebraska, Lincoln",Big 12 Conference,Football,NE,85,71,Nebraska
42,North Carolina,ACC,Larry Fedora,2575000,639,11,141,79,62,0,0.56,North Carolina,Kenan Memorial Stadium,51000,Chapel Hill,North Carolina,North Carolina Tar Heels,1998,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Football,NC,64,57,North Carolina
43,Northwestern,Big Ten,Pat Fitzgerald,3619775,664,14,178,99,79,0,0.556,Northwestern,Ryan Field,47130,Evanston,Illinois,Northwestern Wildcats,1998,Northwestern State University,Southland Conference,Football,LA,53,40,Northwestern
44,Pittsburgh,ACC,Pat Narduzzi,3017718,1428,5,65,36,29,0,0.554,Pittsburgh,Heinz Field,68400,Pittsburgh,Pennsylvania,"Pittsburgh Steelers, Pittsburgh Panthers",1998,University of Pittsburgh,American Athletic Conference,Football,PA,48,31,Pittsburgh
45,Tulane,AAC,Willie Fritz,1629000,693,6,75,41,34,0,0.547,Tulane,Benson Field at Yulman Stadium,30000,New Orleans,Louisiana,Tulane Green Wave,1998,Tulane University,Conference USA,Football,LA,77,75,Tulane
46,Akron,MAC,Terry Bowden,412500,180,13,152,82,69,1,0.543,Akron,InfoCision Stadium–Summa Field,30000,Akron,Ohio,Akron Zips,1998,University of Akron,Mid-American Conference,Football,OH,60,53,Akron
47,South Carolina,SEC,Will Muschamp,4200000,1416,8,100,54,46,0,0.54,South Carolina,Williams-Brice Stadium,80250,Columbia,South Carolina,South Carolina Gamecocks,1998,South Carolina State University,Mid-Eastern Athletic Conf.,Football,SC,59,44,South Carolina
48,Syracuse,ACC,Dino Babers,2401206,59,6,76,41,35,0,0.539,Syracuse,Carrier Dome,49262,Syracuse,New York,Syracuse Orange,1998,Syracuse University,American Athletic Conference,Football,NY,75,75,Syracuse
49,Mississippi State,SEC,Joe Moorhead,2600000,1378,2,26,14,12,0,0.538,Mississippi State,Davis Wade Stadium,61337,Starkville,Mississippi,Mississippi State Bulldogs,1998,Mississippi State University,Southeastern Conference,Football,MS,57,58,Mississippi State
50,California,Pac-12,Justin Wilcox,1500000,2089,3,38,20,18,0,0.526,California,California Memorial Stadium,62717,Berkeley,California,California Golden Bears,1998,California Polytechnic State University,Independent,Football,CA,65,55,California
51,Western Michigan,MAC,Tim Lester,800000,1152,3,38,20,18,0,0.526,Western Michigan,Waldo Stadium,30100,Kalamazoo,Michigan,Western Michigan Broncos,1998,Western Michigan University,Mid-American Conference,Football,MI,70,64,Western Michigan
52,Tennessee,SEC,Jeremy Pruitt,3846000,1588,2,25,13,12,0,0.52,Tennessee,Neyland Stadium,109061,Knoxville,Tennessee,Tennessee Volunteers,1998,Middle Tennessee State University,Sun Belt Conference,Football,TN,52,51,Tennessee
53,Duke,ACC,David Cutcliffe,2540928,455,19,224,116,108,0,0.518,Duke,Wallace Wade Stadium,40004,Durham,North Carolina,Duke Blue Devils,1998,Duke University,Atlantic Coast Conference,Football,NC,87,81,Duke
54,Boston College,ACC,Steve Addazio,2514859,5,9,112,57,55,0,0.509,Boston College,Alumni Stadium,44500,Chestnut Hill,Massachusetts,Boston College Eagles,1998,Boston College,American Athletic Conference,Football,MA,89,83,Boston College
55,Kentucky,SEC,Mark Stoops,4013600,1872,7,88,44,44,0,0.5,Kentucky,Kroger Field,61000,Lexington,Kentucky,Kentucky Wildcats,1998,Eastern Kentucky University,Ohio Valley Conference,Football,KY,53,43,Kentucky
56,Missouri,SEC,Barry Odom,2350000,1483,4,50,25,25,0,0.5,Missouri,Faurot Field,71168,Columbia,Missouri,Missouri Tigers,1998,"University of Missouri, Columbia",Big 12 Conference,Football,MO,53,43,Missouri
