Coach,From,To,Last School,Yrs,G,W,L,T,Pct,G(bowls),W(bowls),L(bowls),T(bowls),Pct(bowls)
Bob Folwell,1912,1915,Washington & Jefferson,4,44,36,5,3,0.852,0,0,0,0,
W. Cameron Forbes,1897,1898,Harvard,2,23,21,1,1,0.935,0,0,0,0,
Danny Ford,1978,1997,Arkansas,17,186,121,60,5,0.664,9,6,3,0,0.667
Rick Forzano,1969,1972,Navy,4,43,10,33,0,0.233,0,0,0,0,
Amos Foster,1906,1906,Nebraska,1,10,6,4,0,0.6,0,0,0,0,
Dixon Foster,1917,1919,South Carolina,2,17,4,12,1,0.265,0,0,0,0,
Ora Fowler,1904,1905,Denver,2,17,5,10,2,0.353,0,0,0,0,
Dennis Franchione,1992,2015,Texas State,20,238,127,111,0,0.534,7,3,4,0,0.429
Sam Francis,1947,1947,Kansas State,1,10,0,10,0,0,0,0,0,0,
James Franklin,2011,2019,Penn State,9,118,80,38,0,0.678,9,5,4,0,0.556
Carl Franks,1999,2003,Duke,5,52,7,45,0,0.135,0,0,0,0,
Bob Frederick,1976,1981,Lamar,6,66,19,43,4,0.318,0,0,0,0,
Ewing Freeland,1915,1923,Southern Methodist,3,28,19,8,1,0.696,0,0,0,0,
Jackie Freeman,1952,1956,William & Mary,5,48,14,29,5,0.344,0,0,0,0,
Hugh Freeze,2011,2019,Liberty,7,90,57,33,0,0.633,6,4,2,0,0.667
Jerry Frei,1967,1971,Oregon,5,53,22,29,2,0.434,0,0,0,0,
Ralph Friedgen,2001,2010,Maryland,10,125,75,50,0,0.6,7,5,2,0,0.714
Willie Fritz,2014,2019,Tulane,6,75,41,34,0,0.547,3,3,0,0,1
Henry Frnka,1941,1951,Tulane,11,108,71,32,5,0.681,5,2,3,0,0.4
Wally Fromhart,1954,1958,Detroit Mercy,5,46,19,25,2,0.435,0,0,0,0,
Scott Frost,2016,2019,Nebraska,4,50,28,22,0,0.56,2,1,1,0,0.5
Hayden Fry,1962,1998,Iowa,37,420,230,180,10,0.56,17,7,9,1,0.441
Wesley Fry,1935,1939,Kansas State,5,45,18,21,6,0.467,0,0,0,0,
Dennis Fryzel,1973,1974,Tampa,2,22,14,8,0,0.636,0,0,0,0,
Justin Fuente,2012,2019,Virginia Tech,8,102,59,43,0,0.578,5,2,3,0,0.4
Bill Fulcher,1972,1973,Georgia Tech,2,23,12,10,1,0.543,1,1,0,0,1
Leon Fuller,1982,1988,Colorado State,7,80,25,55,0,0.313,0,0,0,0,
Myron Fuller,1920,1921,Tulane,2,18,6,12,0,0.333,0,0,0,0,
Phillip Fulmer,1992,2008,Tennessee,17,204,151,52,1,0.743,15,8,7,0,0.533
Albert Fulton,1899,1899,Trinity (CT),1,9,3,5,1,0.389,0,0,0,0,
D.S. Fultz,1903,1903,Brown,1,10,5,4,1,0.55,0,0,0,0,
Fred Furman,1907,1908,Mississippi State,2,16,9,7,0,0.563,0,0,0,0,
Warren Gaer,1949,1958,Drake,10,88,43,43,2,0.5,1,0,1,0,0
Chan Gailey,2002,2007,Georgia Tech,6,76,44,32,0,0.579,5,2,3,0,0.4
