,School,Conference,Coach,TotalPay,index,Yrs,G,W,L,T,Pct,Last School,Stadium,Capacity,City,State,HomeTeams
29,Georgia,SEC,Kirby Smart,6603600.0,1796.0,4.0,56.0,44.0,12.0,0.0,0.7859999999999999,Georgia,Sanford Stadium,93246,Athens,Georgia,Georgia Bulldogs
30,Georgia,SEC,Kirby Smart,6603600.0,1796.0,4.0,56.0,44.0,12.0,0.0,0.7859999999999999,Georgia,TIAA Bank Field,64428,Jacksonville,Florida,"Jacksonville Jaguars, the Gator Bowl game, and the annual Florida Gators-Georgia Bulldogs football game - formerly known as The World's Largest Outdoor Cocktail Party"
31,Georgia Tech,ACC,Paul Johnson,3060018.0,1010.0,17.0,217.0,128.0,89.0,0.0,0.59,Georgia Tech,Bobby Dodd Stadium,55000,Atlanta,Georgia,Georgia Tech Yellow Jackets
32,Houston,AAC,Major Applewhite,1750000.0,45.0,3.0,26.0,15.0,11.0,0.0,0.5770000000000001,Houston,TDECU Stadium,40000,Houston,Texas,Houston Cougars
33,Illinois,Big Ten,Lovie Smith,5000000.0,1808.0,4.0,49.0,15.0,34.0,0.0,0.306,Illinois,Memorial Stadium,60670,Champaign,Illinois,Illinois Fighting Illini
34,Indiana,Big Ten,Tom Allen,1830000.0,20.0,4.0,38.0,18.0,20.0,0.0,0.474,Indiana,Lucas Oil Stadium,63000,Indianapolis,Indiana,"Indianapolis Colts, the Big Ten Championship Game, the Circle City Classic game"
35,Indiana,Big Ten,Tom Allen,1830000.0,20.0,4.0,38.0,18.0,20.0,0.0,0.474,Indiana,Memorial Stadium,52929,Bloomington,Indiana,Indiana Hoosiers
36,Iowa,Big Ten,Kirk Ferentz,4700000.0,646.0,21.0,266.0,162.0,104.0,0.0,0.609,Iowa,Kinnick Stadium,70585,Iowa City,Iowa,Iowa Hawkeyes
37,Iowa State,Big 12,Matt Campbell,3500000.0,271.0,9.0,101.0,61.0,40.0,0.0,0.604,Iowa State,Jack Trice Stadium,61500,Ames,Iowa,Iowa State Cyclones
38,Kansas,Big 12,David Beaty,1701109.0,111.0,4.0,48.0,6.0,42.0,0.0,0.125,Kansas,Arrowhead Stadium,76416,Kansas City,Missouri,Kansas City Chiefs
39,Kansas,Big 12,David Beaty,1701109.0,111.0,4.0,48.0,6.0,42.0,0.0,0.125,Kansas,David Booth Kansas Memorial Stadium,50071,Lawrence,Kansas,Kansas Jayhawks
40,Kansas State,Big 12,Bill Snyder,3500000.0,1818.0,27.0,333.0,215.0,117.0,1.0,0.647,Kansas State,Bill Snyder Family Football Stadium,50000,Manhattan,Kansas,Kansas State Wildcats
41,Kent State,MAC,Sean Lewis,440000.0,1162.0,2.0,25.0,9.0,16.0,0.0,0.36,Kent State,Dix Stadium,30520,Kent,Ohio,Kent State Golden Flashes
42,Kentucky,SEC,Mark Stoops,4013600.0,1872.0,7.0,88.0,44.0,44.0,0.0,0.5,Kentucky,Kroger Field,61000,Lexington,Kentucky,Kentucky Wildcats
43,Louisiana Tech,C-USA,Skip Holtz,700000.0,929.0,15.0,194.0,110.0,84.0,0.0,0.5670000000000001,Louisiana Tech,Joe Aillet Stadium,28562,Ruston,Louisiana,Louisiana Tech Bulldogs
44,Louisiana-Lafayette,Sun Belt,Billy Napier,850000.0,1427.0,2.0,28.0,18.0,10.0,0.0,0.643,Louisiana,Cajun Field,36900,Lafayette,Louisiana,Louisiana-Lafayette Ragin' Cajuns
45,Louisiana-Monroe,Sun Belt,Matt Viator,390000.0,2002.0,4.0,48.0,19.0,29.0,0.0,0.396,Louisiana-Monroe,JPS Field at Malone Stadium,30427,Monroe,Louisiana,Louisiana-Monroe Warhawks
46,Louisville,ACC,Bobby Petrino,3980434.0,1544.0,14.0,175.0,119.0,56.0,0.0,0.68,Western Kentucky,Cardinal Stadium,61000,Louisville,Kentucky,Louisville Cardinals
47,LSU,SEC,Ed Orgeron,3500000.0,1494.0,8.0,92.0,56.0,36.0,0.0,0.609,Louisiana State,Tiger Stadium,102321,Baton Rouge,Louisiana,LSU Tigers
48,Marshall,C-USA,Doc Holliday,762570.0,914.0,10.0,129.0,78.0,51.0,0.0,0.605,Marshall,Joan C. Edwards Stadium,38227,Huntington,West Virginia,Marshall Thundering Herd
49,Maryland,Big Ten,DJ Durkin,2512000.0,,,,,,,,,Capital One Field at Maryland Stadium,51802,College Park,Maryland,Maryland Terrapins
50,Memphis,AAC,Mike Norvell,2600000.0,1461.0,4.0,54.0,38.0,16.0,0.0,0.7040000000000001,Memphis,Liberty Bowl Memorial Stadium,58318,Memphis,Tennessee,"Memphis Tigers, the Liberty Bowl game, and the Southern Heritage Classic game"
51,Michigan,Big Ten,Jim Harbaugh,7504000.0,817.0,9.0,115.0,76.0,39.0,0.0,0.6609999999999999,Michigan,Michigan Stadium,115109,Ann Arbor,Michigan,Michigan Wolverines
52,Michigan,Big Ten,Jim Harbaugh,7504000.0,817.0,9.0,115.0,76.0,39.0,0.0,0.6609999999999999,Michigan,Rynearson Stadium,30200,Ypsilanti,Michigan,Eastern Michigan Eagles
53,Michigan,Big Ten,Jim Harbaugh,7504000.0,817.0,9.0,115.0,76.0,39.0,0.0,0.6609999999999999,Michigan,Kelly/Shorts Stadium,30255,Mount Pleasant,Michigan,Central Michigan Chippewas
54,Michigan State,Big Ten,Mark Dantonio,4390417.0,462.0,16.0,206.0,132.0,74.0,0.0,0.6409999999999999,Michigan State,Spartan Stadium,75005,East Lansing,Michigan,Michigan State Spartans
55,Minnesota,Big Ten,P.J. Fleck,3550000.0,668.0,7.0,90.0,53.0,37.0,0.0,0.589,Minnesota,U.S. Bank Stadium,66655,Minneapolis,Minnesota,Minnesota Vikings
56,Minnesota,Big Ten,P.J. Fleck,3550000.0,668.0,7.0,90.0,53.0,37.0,0.0,0.589,Minnesota,TCF Bank Stadium,52525,Minneapolis,Minnesota,Minnesota Golden Gophers
57,Mississippi State,SEC,Joe Moorhead,2600000.0,1378.0,2.0,26.0,14.0,12.0,0.0,0.5379999999999999,Mississippi State,Davis Wade Stadium,61337,Starkville,Mississippi,Mississippi State Bulldogs
58,Missouri,SEC,Barry Odom,2350000.0,1483.0,4.0,50.0,25.0,25.0,0.0,0.5,Missouri,Faurot Field,71168,Columbia,Missouri,Missouri Tigers
59,Navy,AAC,Ken Niumatalolo,2163000.0,1452.0,13.0,158.0,98.0,60.0,0.0,0.62,Navy,Lincoln Financial Field,69172,Philadelphia,Pennsylvania,"Philadelphia Eagles, Temple Owls, Army–Navy Game (in most years)"
60,Navy,AAC,Ken Niumatalolo,2163000.0,1452.0,13.0,158.0,98.0,60.0,0.0,0.62,Navy,Navy–Marine Corps Memorial Stadium,34000,Annapolis,Maryland,"Navy Midshipmen, the Military Bowl game"
